source,target,model,seed,pr_auc,roc_auc,prevalence,lift,diagonal_protocol,cell_kind,wall_s,peak_rss_gb
cert52,cert42,random_forest,3,0.9486520069310508,0.9996319460203456,0.0029232687349448,324.51754968362275,full_source,off_diagonal,33.06549999996787,1.743122100830078
cert52,cert62,random_forest,3,0.3215295592726238,0.9956865877646944,3.156361862540441e-05,10186.714111855234,full_source,off_diagonal,35.368309499986935,2.488140106201172
cert52,spedia,random_forest,3,0.4619985209713177,0.657520325203252,0.3203125,1.4423368459592358,full_source,off_diagonal,33.01340299996082,1.803882598876953
cert52,lanl,random_forest,3,0.001399979388756,0.7184085325897477,0.0004515854240541,3.1001429944034973,full_source,off_diagonal,33.59907170000952,1.7923622131347656
cert62,cert42,random_forest,3,0.2176633356863947,0.8070840363073074,0.0029232687349448,74.45888675387216,full_source,off_diagonal,47.20702450000681,2.40005111694336
cert62,cert52,random_forest,3,0.2419057012448019,0.8389371267187128,0.0018842382818976,128.38381619185586,full_source,off_diagonal,48.1269556999905,2.5307350158691406
cert62,spedia,random_forest,3,0.5321021802811772,0.6702761424165965,0.3203125,1.6611970506339189,full_source,off_diagonal,46.84594610001659,2.2504959106445312
cert62,lanl,random_forest,3,0.0173516065793811,0.9259893891321304,0.0004515854240541,38.42375252860707,full_source,off_diagonal,47.33324000000721,2.3779067993164062
spedia,cert42,random_forest,3,0.0679744523844616,0.9536582728535992,0.0029232687349448,23.25289206972064,full_source,off_diagonal,1.445562700042501,1.7931404113769531
spedia,cert52,random_forest,3,0.0300525633632978,0.912445203869495,0.0018842382818976,15.94944952133758,full_source,off_diagonal,2.013010599999689,1.5911331176757812
spedia,cert62,random_forest,3,0.1486052295385042,0.9976480611957016,3.156361862540441e-05,4708.117637022053,full_source,off_diagonal,3.220276299980469,2.221099853515625
spedia,lanl,random_forest,3,0.0073769172519621,0.9115671166358862,0.0004515854240541,16.335596454234214,full_source,off_diagonal,1.5708598000346683,1.7641029357910156
lanl,cert42,random_forest,3,0.0030324403733563,0.5165854384473293,0.0029232687349448,1.0373457414662155,full_source,off_diagonal,16.534490399993956,1.2976722717285156
lanl,cert52,random_forest,3,0.0029823890720468,0.5954706805270734,0.0018842382818976,1.582808873325348,full_source,off_diagonal,17.27051170001505,1.766937255859375
lanl,cert62,random_forest,3,3.78436155468262e-05,0.5529791925928023,3.156361862540441e-05,1.1989631479188907,full_source,off_diagonal,18.13541869999608,2.3758773803710938
lanl,spedia,random_forest,3,0.3817096267553584,0.591533501541912,0.3203125,1.1916788347484362,full_source,off_diagonal,16.11781249998603,1.7912635803222656
cert42,cert52,random_forest,4,0.6002141520373119,0.991841432228908,0.0018842382818976,318.5447179391961,full_source,off_diagonal,12.832241200027056,1.7414512634277344
cert42,cert62,random_forest,4,0.0995206525570248,0.9931456362637252,3.156361862540441e-05,3153.017837977687,full_source,off_diagonal,13.992162900045514,2.3543701171875
cert42,spedia,random_forest,4,0.4559376207796162,0.6499859826184469,0.3203125,1.4234150112144115,full_source,off_diagonal,11.740952200023456,1.7891769409179688
cert42,lanl,random_forest,4,0.0010556230825977,0.7408677376480158,0.0004515854240541,2.337593346394787,full_source,off_diagonal,12.238552900031207,1.342559814453125
cert52,cert42,random_forest,4,0.9467755541719124,0.99956906653866,0.0029232687349448,323.87564744018306,full_source,off_diagonal,33.635906400042586,1.739177703857422
cert52,cert62,random_forest,4,0.3527884293587559,0.9970196954718996,3.156361862540441e-05,11177.059054781805,full_source,off_diagonal,35.268234899966046,2.540363311767578
cert52,spedia,random_forest,4,0.4727206736353078,0.6828567423605271,0.3203125,1.4758108835443755,full_source,off_diagonal,33.168098099995404,1.8561515808105469
